word,antonim
abadi,sementara
abai,hirau
abang,adik
abdi,"kamu, juragan"
abnormal,normal
abnormalitas,"kenormalan, normalitas"
absah,ilegal
absen,hadir
absensi,kehadiran
absolut,"demokratis, nisbi, relatif"
abstrak,konkret
acak,tertentu
acak-acakan,kadangkala
adik,"abang, kakak"
adil,"berat, sebelah, timpang"
adopsi,menelantarkan
adu domba,mendamaikan
agung,kecil
ajaib,normal
ajudan,tuan
akal-akalan,sungguh-sungguh
akhir,awal
akhirnya,"awalnya, mulanya"
akrab,"jauh, renggang"
aktif,pasif
aktual,"abstrak, basi, lama"
aku,"engkau, kamu"
alem,mencela
alit,besar
aman,huru-hara
amanah,khianat
ambil,simpan
amoral,bermoral
amuk,tenang
aneh,"biasa, normal"
aneka,tunggal
angguk,menggeleng
anggur,bekerja
angin-anginan,penyabar
angkuh,"rendah, hati"
angsur,tunai
antagonis,teman
anteng,"jahil, lasak"
antero,sebagian
antik,modern
antonim,sinonim
antusias,apatis
apes,mujur
aram,terang
arkais,modern
artifisial,"asli, tulen"
asin,tawar
asli,"palsu, asing"
asusila,bermoral
atas,bawah
atasan,bawahan
awal,akhir
awalan,akhiran
awut,mengatur
awut-awutan,"rapi, hati-hati"
ayah,ibu
azab,nikmat
badaniah,rohaniah
bagak,"kecil, hati"
bagus,"jelek, buruk"
bahagia,sedih
bahari,modern
baik,buruk
baka,fana
bakar,memadamkan
balela,mematuhi
balik,pergi
bang,adik
bangat,lamban
bangir,pesek
bangkang,menurut
bangkit,tidur
bangsawan,proletar
bantah,menurut
banyak,sedikit
bapak,ibu
baru,lama
basah,kering
bata-bata,lancar
batin,jasmani
batiniah,jasmaniah
bawah,atas
bawahan,atasan
bebal,pintar
bebas,terkungkung
bejat,alim
beku,cair
belakang,depan
beleter,pendiam
belia,renta
belok,lurus
benar,salah
benci,suka
bengkalai,memedulikan
bengkok,lurus
bening,keruh
berada,miskin
beradab,biadab
beragama,ateis
berair,kering
berakal,bodoh
berakhir,terawal
berangkat,datang
berani,takut
berantak,merapikan
berantakan,rapi
beraturan,berantakan
berawal,berakhir
berbaikan,bermusuhan
berbalah,berdamai
bercabang,lurus
bercahaya,suram
bercakap-cakap,"berdiam, diri"
bercampur,berpisah
bercampuran,bercerai-berai
bercerai,bersatu
bercerai-berai,bersatu-padu
bercuti,bertugas
berdaki,bersih
berdamai,bermusuhan
berdampingan,berjauhan
berdekatan,berjauhan
berdempetan,berenggangan
berdesakan,berlapang
berdinas,pensiun
berduka,bergembira
berdukacita,bersukacita
berekan,bermusuhan
berganda,berkurang
bergembira,bersedih
bergerak,"mati, padam"
bergeser,berdiam
berhampiran,berjauhan
berhasil,gagal
berhijrah,menetap
beri,terima
berjalan,berhenti
berjalur-jalur,polos
berjumpa,berpisah
berkah,musibah
berkawan,bermusuhan
berkawin,bercerai
berkecukupan,miskin
berkurang,bertambah
berlaba,merugi
berlabuh,berlayar
berlaga,berdamai
berlama-lama,cepat-cepat
berlebih,"kurang, longgar"
berlelah-lelah,berleha-leha
berlepas,datang
bermacam-macam,sejenis
bermesra,berselisih
bermitra,lawan
bermusuhan,"berteman, bersahabat"
berpasangan,tunggal
berpencaran,"berhimpun, bersatu"
berpengetahuan,jahil
berpisah,bersatu
bersantai,"bekerja, keras"
bersarak,berujuk
bersatu,perseorangan
bersauh,berlayar
bersayangan,berbenci-(benci)an
bersebar,bersatu
berseberangan,bersepakat
bersedia,"menolak, berlengah"
bersedih,bergembira
bersekutu,bermusuhan
bersemuka,berpunggungan
bersenang hati,"bersedih, hati"
bersengketa,berdamai
bersepakat,bertentangan
berseteru,bersahabat
bersetuju,menolak
bersih,kotor
bersukacita,berdukacita
bersungguh-sungguh,bermain-main
bertaburan,teratur
bertanya,menjawab
bertaut,terbuka
bertautan,berlepasan
bertekak,menolak
bertelanjang,bertutup
berteman,bermusuhan
bertempur,berdamai
bertemu,berpisah
bertenaga,loyo
bertengkar,berdamai
bertentangan,"bersepakat, berdamai, bersesuaian"
berumur,belia
besar,kecil
betina,jantan
betul,salah
biadab,beradab
biasa,istimewa
binasa,lestari
bineka,tunggal
bising,senyap
bodoh,pandai
bohong,jujur
bohong-bohongan,asli
bolos,hadir
boncel,bongsor
bongsor,boncel
boros,irit
bos,"anak, buah"
brilian,bodoh
buang,pungut
buas,jinak
bubar,bersatu
budak,"juragan, dewasa"
bugar,lesu
buka,tutup
bukan,ya
bumiputra,pendatang
buncit,pertama
bunda,ayahanda
buruk,baik
busuk,segar
butek,jernih
butut,bagus
cabang,"batang, pusat"
cabul,bermoral
cabut,memasukkan
cacat,"baik, normal"
cacatan,pujian
caci,sanjung
cacian,sanjungan
cair,"beku, pekat"
cakap,ceroboh
camar,"duka, jarang, benci"
cantik,jelek
cedera,pulih
cekal,melepaskan
cekat,lamban
cekcok,rukun
ceking,gendut
cekung,cembung
celaka,selamat
celik,tidur
cemar,bersih
cembung,cekung
cemerlang,"gelap, dungu"
cenangga,normal
cendekia,dungu
cenderung,ringan
centang,"bersatu, padu"
cepat,lambat
cerah,"gelap, muram"
cerca,puji
cerdas,bodoh
cerdik,dungu
cerewet,pendiam
ceria,"muram, bernoda, sedih"
ceriwis,pendiam
ceroboh,telaten
cewek,cowok
ciprat,mengguyur
congkak,"rendah, hati"
cocok,salah
cowok,"cak, cewek"
cuek,acuh
culas,jujur
cuma-cuma,bayar
curam,landai
curang,jujur
curiga,percaya
dahulu,sekarang
daif,mulia
daki,menurun
damai,"kacau, balau, rusuh"
damping,renggang
dangkal,dalam
daratan,lautan
datang,pergi
debit,kredit
debitor,kreditur
definitif,taktentu
defisit,surplus
deflasi,inflasi
degil,penurut
degradasi,gradasi
dekam,bebas
dekat,jauh
dekil,bersih
deklinasi,inklinasi
dempak,runcing
dempet,renggang
dependen,"independen, bebas"
depresi,kebahagiaan
depresiasi,apresiasi
deras,lambat
dermawan,kikir
desa,kota
deselerasi,akselerasi
destruksi,pembangunan
destruktif,konstruktif
difusi,pengumpulan
dingin,panas
diri,terbaring
disintegrasi,pernyatuan
disonansi,harmoni
distributor,pengecer
dobel,tunggal
donor,penerima
dosen,mahasiswa
drop,naik
duda,janda
duduk,berdiri
duka,gembira
dukacita,sukacita
dungu,"pandai, pintar"
dunia,akhirat
dupleks,simpleks
duplikat,asli
dusta,benar
dusun,kota
dwibahasa,ekabahasa
edan,waras
efisien,inefisien
efisiensi,inefisiensi
egois,pluralis
ejek,memuji
ekonomis,boros
ekor,kepala
eksak,non-eksak
eksklusif,inklusif
eksplisit,implisit
ekspres,lambat
ekstensif,parsial
eksterior,interior
ekstra,intra
ekstrem,moderat
elastis,kaku
elastisitas,kekakuan
elite,proletar
elok,buruk
emak,bapak
empuk,keras
encer,"pekat, sulit, bodoh"
epilog,prolog
erat,renggang
fardu,sunah
feminin,maskulin
fenomenal,modern
fertil,infertil
fertilitas,infertilitas
finis,start
firdaus,neraka
fleksibel,kaku
fleksibilitas,kekakuan
formal,nonformal
fotokopi,asli
futur,lampau
gadis,(je)jaka
gagal,berhasil
gagap,lancar
gancang,lamban
ganda,tunggal
ganjil,genap
ganti,"tetap, tetap, pakai"
garap,membiarkan
gasal,genap
gede,kecil
gembira,sedih
gembrot,kerempeng
gendut,kurus
gesit,lamban
grup,perseorangan
gulita,benderang
gundah,riang
gundul,lebat
guru,murid
gusar,senang
gusur,membangun
habis,bersisa
hadir,absen
hak,kewajiban
halal,haram
haluan,buritan
halus,kasar
hamba,kamu
hancur,utuh
hangat,sejuk
haram,halal
harmoni,disharmoni
harmonis,disharmonis
harum,busuk
hebat,biasa
heboh,tenang
hemat,boros
hembus,isap
hening,"bising, riuh"
