text,rating,sentiment_label
"Barang bagus,,sesuai deskripsi",4,1
"barang sesuai pesanan , respond cepat . penguriman juga cepat . baik sekali . hanya saja buble wrap nya kurang tebal . jadi aga ngeri terbentur .  tapi barang sampai dengan selamat . terimakasih lazada",5,1
"selama beli tv di lazmall tidak pernah kecewa, walau sempat digagalin untuk merk sharp yg 1 ini",5,1
"Udah dicoba, bagus, semoga awet. Yang satu lagi belum dibuka mudah-mudahan aman",5,1
"Barang sesuai dengan deskripsi, dites ok, recommended seller, sukses gan,mksh.",5,1
"Barang ori,sesuai foto n deskripsi dan pastinya ok banget. Recommend",4,1
"Barang belum nyampe..padahal saya order dr tgl 9 agustus 2016 dan ditargetin oleh lazada hr sabtu,13 agustus 2016 paling lama..tp kok hingga sekarang barang belum nyampe dan juga blm ada konfirmasi kepastian barang nyampe..biasanya saya selalu pake lazada ga pernah ada masalah..gimana lazada?pesanan saya ditindaklajuti tidak?mohon infonya?thx",5,1
"Barang sesuai dengan deskripsi, mantap. Alhamdulillah pengiriman aman dan produk tidak cacat. Semoga awet dan after sales service nya nanti memuaskan juga",5,1
"mantap,, pesanan ke 2 dari seller ini, dan tak pernah kecewa, maju terus gan",5,1
"Pengiriman gak sampai 24jam sudah sampai, barang original, tidak satu pun yg cacat. Cuma masih kurang paham penggunaanya😄",5,1
"Boleh nih pesan 1unit yang beneran bisa usb movie ya... Tolong kirim yang OKE(yang Bagusss) intinya bisa langsung pakai, saya tidak mau returns atau/ tukar karna memakan waktu lagi  atas perhatianya Thank Lazada .",5,1
Berfungsi dgn baik..top buat agan,5,1
ok..  terima kasih cuman. ada  yg ingin. saya  sampaikan pengiriman. perlu di tingkatkan jgn. pernah. pakai jne. trucking emank. lebih. murah. tpi. estimasi.nya. jadi gk. sesuai pelanggan itu. harga yg. gk. bisa. di ganti,5,1
"trima ksh lazaad seller,brng sdh datang,tpi kok gk da kartu garansinya,tolong donk unyuk kartu garansinya dikirimkan kealamat sya",5,1
dapet harga flash sale di 11.11 triple diskon. barangnya bagus. cuma soundnya kurang mumpuni.,5,1
"barang sesuai dengan perkiraan, cuma bonus yang ada tidak sesuai dengan yang tertera, kagoll",4,1
"Respon chat seller sangat cepat dan ramah. Proses penyerahan barang ke pihak kurir sedikit lambat dan no resi tidak sesuai. Kualitas barang sesuai dengan iklan. Barangnya sangat bagus. Dan dapat hadiah tas. Di laptopnya sudah terinstall MS office 365, tapi hanya versi trial. Lumayan lah buat laptop harga segitu.",4,1
gambarnya kurang bagus,5,1
barangnya ok dan sampe dengan selamat..sayangnya waistbag nya tidak sesuai ekspektasi..tapi barangya bagus kok..,5,1
Terimakasih barangnya berfungsi semua bwt Lazada t..o..p bgt blm pernah kecewa,5,1
"barang OK, packaging OK, pelayanan penjual ramah (yg g ramah kurirnya doang), waktu pengirimannya agak lama juga. tp, overall barangnya ORI dan pedagangnya insya Allah jujur dan amanah.  buat kartu garansinya, katanya akan di klaim dalam bentuk invoice yang akan d kirim ke email stelah 3 hari penerimaan tapi belum nerima sih krna bru 1 hari penerimaan. mudah2an awet dan bagus... thx lazada dan penjual 😁🖑",5,1
barang sesuai spek thank you,5,1
"Oke
Mantap,mantap nya mantap",5,1
"Pesen malam hari, pagi jam 7 gua blm bngun, uda dibangunin kurir LEX. Dgn stengah sadar ama ngasi duit COD ampe gk smpet ngecek barang dlu, tp percaya deh,, apapun kalo yg disediakan ama Lazada gk usah ragu, good seller & good job.  Stelah dibuka dan di test semuanya ori gk diragukan lagi,, recommended dah pkoknya,,  Kalo bth lgi pasti akan order deh disini aja...",5,1
"Os.nya w10 sudah di aktivasi.  Officenya masa berlaku sampai 4 september 2019. perlu di aktivasi. Keyboard nyaman. layar luas enak. touchpad, aga lama responnya. kurang cepet.",5,1
"terima kasih, barang sdh sampai...lumayan nyaman... :)",4,1
"Barang udh terima,blm dibuka",4,1
"barangnya bagus sangat puas,, tapi free vocher hooq nya ga dikirim ga sesuai dg keterangan",4,1
"barang bagus sesuai gambar, murah tp bukan murahan, packingnya rapi , pengiriman cepat, kurirnya langsung dari tokonya, makasih kencana electronik.",5,1
"pengiriman super cepat. kalo gak ada tanggal merah, mungkin kurang dari 24 jam bisa langsung sampai rumah dengan selamat. Tapi voucher Berlangganan Hooq gratis masih belum saya terima nih",5,1
"Dengan harga murah, tapi kualitas ga murahan dan pengiriman cepat banget. Udah gratis ongkir, pesan hari ini besoknya udah sampe. Thanks lazada",5,1
makasih barang sudah sampai,5,1
paketnya bagus pakai bublecrab. walau tanpa kayu. layar mash aman. yang kurang sh di suaranya agak kurang mantap..,5,1
"po jumat dikirim minggu , cepet banget pengiriman nyaa, sempet kaget karna si kurir ngirim barang dengan dikemas bubble wrap aja, tp pake mobil katanyaa, dan pas di unboxing, overall ga cacat lah alhamdulullah, semoga awet lah dengan harga flash sale",5,1
"transfer data dari komputer saya bisa nyampe 30 mbps , ga usah diragukan lagi",5,1
barang sudah sampai tp blm sy nyalain semoga mantil eh mantul msdy,4,1
"Packing bagus, barang sesuai harga. Cepat sampai",4,1
"Barang sdh sampai dg smpurna, pembungkus kardus rangkap 3,amandah pokoknya. pesanan 2hr kerja sdh sampai. untuk barang lumayan lah klo cm utk kseharian se org guru tdk terlalu cepat cm tdk trlalu lemot. itu data masih kosong lho g tau nanti klo data sdh lumayan penuh. utk resolusi jujur kurang tajam. tpi utk keseluruhan baguslah utk harga segitu. trimakasih LAZADA smoga smakin jaya.",5,1
bagus... tapi belom d cobaa,4,1
terimakasih barang sesuai gambar.tapi isinya tidak sesuai dengan barangnya,5,1
Windows 10 nya ga bisa dipakai sama sekali ini gimana ya? Katanya windows 10 nya asli tp ga bisa dipakai. Pdhl sengaja pilih produk ini biar ga repot install lagi.  Tolong direspon ya,4,1
"Pesan tgl 7, tgl 10 sore nyampe.. dengan selamat, packing rapi, barang mulus, cm ya gitu, ga sesuai warna,, di website, warnanya biru tua, yang nyampe hitam legam...saya kasih 3 *** dulu karena blm dicoba..thx lazada..",5,1
barang sudah selamat tiba dirumah dan kondisi normal hanya kekurangannya pada sound/suara yang standard tidak sesuai dengan ukurannya seharusnya ada pengatur bass treeble,5,1
"Barang sudah sampai di rumah dengan selamat. Dari matras dan tas matrasnya juga sama persis seperti di gambar yg diiklankan.
Overall puas belanja di lapak ini.
Terima kasih yaaa~",4,1
makasih gan barang udh sy coba tv tpiii blum sy coba you tube,4,1
Paket sudah diterima meski waktu pengiriman tidak sesuai dengan jadwal,5,1
"barang nya bagus, tp resolusi layarnya ga yakin sesuai deskripsi",5,1
respon yg baik dari penjual dan pengiriman lumayan cepat,5,1
dari warna nya bagus... tp utk suara kurang bagus,5,1
Pengiriman pakai Ninja Express. Jkt-Tasikmalaya. Pesan tgl 10. Tgl 11 diterima. Langsung test. Kualitas sesuai lah. Murah tapi gak murahan. Hatur nuhun 🙏,5,1
mantaff sdh di coba banyak fasilitas yang baru .. cuman untuk nembus lantai beton masih sama dengan router yang lainnya ..,4,1
"pengiriman cepat barang lumayan bagus, tapi tau asli bukannya, soalnya pas di nyalakan ga tampak di layar logo panasonic nya, g seperti tv lain, tapi ga papa gak kecewa, sesuai harga lah, sukses terus ya to penjual trmksh LAZADA..",5,1
bagus sepatu nya sis.mksih iya sis,5,1
"Respon cepat, paking kurang aman karna dus penyok smp di tujuan.",4,1
"Ntap souuul~ Harga emang gak boong, cakep dah pokoknya",5,1
sudah sampai barangnya walau lama,5,1
"barang sumpai lebih cepat dari estimasi,,, tpi klw kwalitas barang mah belum tau karna belum di tes,,sebab ga da antena nya",4,1
"Barang sudah sampai gan, terima kasih",5,1
"Barang sudah saya terima sesuai estimas, Barangnya Mantaaap dech. Anak ku sangat senang. Trims Banget Lazada, seller and kurirnya yang selalu ramah. Selama ini saya gak pernah kecewa beli barang di LAZADA.",5,1
Klo yang jual Lazada store...gak pernah mengecewakan deh... Recommended bgt,5,1
"syukur alhamdulillah setelah nunggu 7 hari unit datang dengan selamat.  makasih lazada.  hanya kurirnya aja yang kurang profrsional dalam siatemnya dan transparan.  karena setiap cek lacak datanya gitu"" mulu jadi khawatir barang yang tidak saya inginkan.  .",4,1
"ga nyesel, keren kok, harganya murah  ga usah ragu-ragu",5,1
"brg cepat sampai, order jumat sore, sabtu jam 11 udah sampe (jkt - bdg)..brg sesuai pesanan, spek sesuai, admin nya aga galak ditanya spek laptop lain ga dijawab",5,1
mantap pas d pc saya..........nanti order lg yang lain bos..,5,1
"Pengiriman nya cepet banget pesan kemarin hari ini udah sampai, barangnya oke, layarnya juga jernih, bagus bgt pokoknya! Ga pernah kecewa sama lazada deh thanks lazada",5,1
"So far semuanya bagus, ga ada minus sedikitpun, sesuai deskripsi, bener2 smart tv pokoknya ga salah pilih merk tv deh. Thankyou Lazada :)",5,1
"TV saya baru pemakaian 2 bulan dah ada garis d layarnya 2 buah,padahal tv d gunakan sesuai prosedur dr pertama d pasang gak pernah d pindah2 tempatnya...gimana cara saya mau komplen dan service produk????😔",5,1
top produknya.... sesuai pesanan. seandainya saya minta bon pembelian bisa nggak ya.... saya tanggung semua ongkirnya. atau di email boleh nggak ya.... biar bisa di ganti kantor. please respons,5,1
"Barang original, oke, bungkus rapi, cuma respon cs sangat buruk. Ini tipe premium steel btw kalau di situs asus. Kmarin nanya tidak dijawab oleh cs.",5,1
akhirnya saya punya tb lcd ..nggak kalah sama tetangga,5,1
"Produk sesuai mantap hrg paling bagus + beli waktu bonus sound bar mantap. Hanya saja pemilihan expedisi yg kurang bagus, lama banget dah sampai barangnya.",4,1
brang bagus dan tidak cacat..thx lazada,5,1
"Pengiriman menggunakan NinjaXpress dan selamat sampe tujuan tidak retak pecah atau hancur. Digambar perbandingan ukuran dengan Samsung LED 43"". Secara kualitas gambar emang jauh dengan samsung tapi mengingat harganya segini oke banget. Buat yang komplain gabisa pake USB atau yang bilang ga keluar menu usb di source coba tolong dicek lagi buku manualnya. Ini adalah SmartTV, masa orangnya ga smart XD. Cara nonton atau view dari USB langsung pake menu media atau pake aplikasi tambahan kaya MX Player. Untuk kualitas suara standar2 aja, tapi ga punya jack aux. Miracast juga lancar. Oke banget :)",5,1
"barang sudah diterima dengan baik. sudah saya coba hp nyala dan dalam keadaan baik. cuman tombol kanannya agak keras, terima kasih.",4,1
"Barang sesuai harga, kuat",5,1
barang sudah sampai...bagus...imut2,4,1
"Barangnya sesuai gambar, harganya juga sesuai, pengiriman nya cepet 2 hari sampe, bisa cod juga, kurirnya juga ramah. makasih Lazada Retail Shop & Lazada gapernah nyesel belanja disini😍😍😍",5,1
ditulisannya blg bsa pake USB. ternyata gk ada port USB ny.  bkn trmasuk smart tv donk yaa.  tp brg sampe dgn aman alhamdulillah gk ada cacat,5,1
"produk original, packing pake kayu mntap pkoknya gx da yg lecet meskipun lambat dalm pngirimn tpi ttp okelh, pesan tgl 12 sampai 24, cukup lama menunggunya, semoga produk awet , Tq lazmll, sukses selalu.",5,1
"Terimakasih barang sudah sampai tujuan
Mantap....respon penjual oke",5,1
"Bagus gan, mertuaku sukak.",5,1
"Soal kualitas barang, ga ragu krn sebelumnya udah pakai yg 32 inch nya. Akan tetapi untuk pesanan kali ini tidak dapet bracket, padahal di promo nya tertulis dapet bracket 43 inch (atau dikirim secara terpisah??). Dan tinggal menunggu email untuk gratis  HOOQ dan Iflix....",5,1
"mantab... pengiriman hy 24jam ke ciputat.. packing rapi Aman,..kurir ramah bgt, tampilan bening..harga murah tp g murahan",5,1
Alhamdulilah brng sudah smpai.dipackng dgn kayu n sngat rapi.abg kurir nya ramah n tepat ke almat sy.mudah2 sy gk prnh kecewa n smpe skrng blm prnh kecewa. trmksh #lazada😘😘😍,5,1
barang bagus... tapi merek tidak sesuain dengan yang di dalam,5,1
Alhamdulillah...paketan dah nyampe..semoga awet barang nya walo spek nya ga sesuai,4,1
Barang oke. Tapi pengiriman lumayan lama. Ninja Xpress tdk recommended sbagai jasa pengiriman. Di Serang dihubungi tdk pernah diangkat,5,1
Barang sesuai permintaan,4,1
"Barang datang dengan selamat. Kurir juga lumayan cepat. Belum ditemukan masalah hingga saat ini, semoga saja awet..",5,1
wah... lama.... tak sesuai estimasi tgl 17 sampe 24an jd ga seru...,5,1
Trimah ksih lazada barang y sudah smpai dan tidak cacat sedikit pun.kurir y pun ramah dlm pelayanan y.,5,1
"Good
Brng bagus
Paking rapi",5,1
"Barang sudah sampai dengan selamat karena packingnya rapih sekali. Semua berjaian baik. Tapi sayang, warna tidak sesuai dengan gambar.. :( Mungkin aku yang salah lihat.. Terimakasih..",5,1
"alhamdullilah hanya 3 hari setelah pesan barang datang,pick up rapih dan aman,gambar juga jernih,harga murah tapi tidak murahan,terima kasih lazada 😙",5,1
"Setelah 3 hari jam nya rusak...terkadang dia jalan, terkadang mati sendiri...tolong bantuannya agar jam tsb di tukar krn tidak sesuai dengan harapan saya",5,1
packing'an nya kurang rapih. Tp untuk flashdisk nya bagus ga ada masalah,4,1
Barabg sudah sampai hanya packing kurang aman,5,1
"Good seller, respon cepat, kiriman cepat.",5,1
"Respon sangat baik,ramah,barang sesuai gambar bagus,dapat free sepatu cantik lagi.puas banget .moga sukses terus",5,1
"pengiriman cepat, kemasan rapih, blm dibuka...good job",5,1
settingan cukup rbet harus lebih dalem nyari tv analog dan proses hidup lama pas dateng tv ny mati g mau nyala udah 1 hri baru bisa nyala aga aneh terganggu juga,4,1
"Puas sekali belanja disini,  paket dikemas dengan aman memakai kayu dan bubble warp, tv sudah dicoba dan bagus (maaf foto ketiga agak buram karena asal jepret). Memang agak kurang baik di pengiriman saja sih karena terlambat dari tanggal estimasi yg awalnya tgl 22 des jadi 28 des, tp tidak masalah selama barang diterima dalam kondisi baik. Terimakasih atas layanan gratis ongkir ke pangkalpinang dan potongan harganya,  tv ini saya dapat dengan harga 3135 saat harbolnas 12.12, sebenernya bisa jadi 3085 karena dapet voucher potongan 50rb,  hanya saja lupa tidak terpakai. Maju terus untuk samsung dan lazada!  tambahkan terus ya voucher-voucher potongannya!!",5,1
Barang telah diterima dengan baik dan berfungsi dengan baik.. hanya untuk paking kurang aman. selebihnya OK.,5,1
Fast respon n shipping sayang hasil crimping tdk sempurna jd hrs crimping ulang lg br kabel bs dpake smoga kedepan nya bs tes dl sblm dkrm ke customer,4,1
"Oke terima kasih, bermanfaat buat supaya nggak ketuker kuncinya",4,1
Barang oke dan bekerja dgn baik,5,1
