text,rating
"kualitas kurang bagus..belum sebulan batre nya drop hingg kapasitas tersisa yang bisa di charge cuma 75% saja dari original max nya,,di chat minta garansi tidak pernah di balas...maaf saya review begini karena anda pun tidak pernah respon lagi",1
"barang sudah diterima dengan baik, tp blm dicoba, semoga lancar&#34; semuanya",4
"Payah ... sudah di tulisin di keterangan minta Mtech ... ehhh di kirimnya apa, maksa banget!!",1
"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",1
Beli 3 gbs dpke semua parah,1
"Barang mendarat dengan selamat, barang kualitas ok",4
Kwalitas baterai kurang bagus. Belum 1 Bulan kondisi tinggal 80%.....,2
"produk bagus dan dapat bertahan hampir 3 jam,dan sesuai dengan net book saya",5
"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri...",1
"Terimakasih barang sudah sampai tujuan
Mantap....respon penjual oke",5
"sudah diterima barangnya dalam kondisi baik, terima kasih",5
"Barang sesuai gambar & spec, thx gan",5
"joz lah ini sellernya 
respon cepet",5
"Sesuai deskripsi , packing rapi dan aman, respon asyik, recmended seller",5
"Kemasan produk penyok semua, walaupun produk didalam masih aman.
Tapi sangat kecewa dengan jasa pengiriman JNE. Sangat lamaaaa.
Padahal produk sudah ada dari senin, tp hari kamis baru diantar. Padahal jarak kantor JNE dng alamat yg dituju hanya butuh 5 menit dengan sepeda.
Sangat kecewa dengan jasa pengirimannya.",2
"Barang sesuai .. belum dicoba semoga Work it, Packing rapih dan cepat sampai :)",5
"Barangnya mantap, pokoknya recommend seller!",5
"Gak sesuai gambar, bahannya mirip jaket 50rbuan",1
"Untuk barang,dan pelayanan sudah bagus..sekedar saran untuk yg tinggi rata2 170cm keatas tidak recommended karena talinya pas2an (harus nyesuain tangan agar talinya bisa sampe bawah),..agak gk nyaman sih kalo talinya gk sesuai ",5
barang sesuai deskripsi. Pengiriman cepat,4
"Bagus, nyaman, cepet sampe nya",5
barang sampai. sesuai deskripsi. seller ramah. dan cepat tanggap,5
barang sudah sampai..proses cepat..sesuai deskripsi..saran packing lebih ditingkatkan..,5
"Sudah chat minta nota tapi g dikasih,dimintain solusi gak dibalas,barang dikirim tanpa bubblewarp.mohon diperbaiki pelayanan kedepannya !",1
"Pelayanan buruk,........",1
Barang yang dikirim tidak ada backlit sesuai di deskripsi,2
"Baru pesen kmrn, barang udah sampe hari ini ... cepet juga yaa, moga2 nga ada masalah .. terima kasih yaaaa..",5
Merk campur beda2.. kualitas sesuai harga,1
"Yang di pesan dan Beda yang dikirim,",1
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,2
Sesuai dengan yang diinginkan packing rapih,5
Sandal nya lucuuu..baguuss..sesuai deskripsi..Good?,5
Pengiriman nya lama sekali,2
"terima kasih ya gan..Salam kenal dari Pusat Herbal & MLM...081398017405 dan saya.juga importir
semoga lancar terus online dan offline nya
tq",5
"Buat telpon tdk ada suaranya, dan untuk musik suaranya kecil bgt",1
"Produk sesuai harapan,  murah dan respon cepat.. Top",5
Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,1
"Produk bagus, cuman di pengaitnya ada yg patah.",4
Barangnya bagus dan sesuai!,5
sy order yg tipe MQ 71 4BDF malah seller kirim tipe lain yg sy gak suka ???? kalo emang gak ada stocknya tlg dong sy diberitahu jd sy bs pilih model lain. Sy kapoklah gak mau belanja di toko ini lg....,1
Barang sudah sampai gan,5
mantaaaaap barang sudah nyampek min proses cepat terimakasih. semoga makin lancar usahanya,5
Gan saya mintanya RJ45 ko dikasih tang RJ nya?,1
"Dah terima gan, ......sesuai pesanan. Terima kasih......",4
Barang bagus cepat datang dan sesuai ekspektasi,5
"Proses dn pengiriman cepat dn barangnya bagus,trims",5
"Makasih ya mas sudah salah kirim, next time dicek dulu ya????",1
"Barang yang dikirimkan tidak bisa dipakai (rusak). Minta solusi via chat, tidak ditanggapin. Seller kurang bertanggung jawab dalam hal garansi barang cacat. Seller berdalih barang dites normal sebelum dikirim. Tetapi saat barang sampai, seller lepas tangan. Ya sudah lah...",1
"Lumayan, murah meriah",4
Sangat cepat pengirimannya....,5
Barang sesuai sih. Tapi pas dinyalain alarmnya langsung idup. Batre jg dapet yg udah low. Bahan ringkih. Alhasil cuman jd gantungan kunci biasa. Ya harga segitu ga bisa ngarep lebih lah.,2
"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh.",1
pengiriman cepat.... moga awet... trims seller,5
Produknya kw mudah rusak,1
Penjual respon lambat kalau ditanya tentang cara pakai.,1
beli disini karena ada softcasenya. diterima tidak ada softcasenya.,2
"ada 4 biji penyok semua, sayang bgt",2
"Untuk produk ini saya kasi 2 bintang saja krna celananya tdk sesuai yg di foto, celanax kependekan tdk di bawa lutut, sisanya  ???",2
"Produk original, bagus dan berkualitas. Terima kasih",5
sesuai dengan deskripsi thnks,5
"Bagus barang nya dan pengiriman cepat, mantap dah",4
produk tdk cocok dgn acer sy,2
"pengiriman lama pake banget,, pas dateng hp kyk kegores di layar,, speaker pecah, suara tlp kecil pdhal sdh maksimal di settingannya, colokan headset g bisa kepake.. g rekomended",1
Barang jelek... Casing ga ori.. speker pecah. Ini barang asli samsung apa casingnya saja yg samsung,1
"mantap,cepet dan sesuai gambar",5
Sory ya gan gw kecewa ???,1
Koj batre nya boros banget yak.  Ama sinyal gak muncul.,1
okee...insya alloh awet..amien,5
pesanan nyampenya lama,2
Speaker sudah di cek dan berfungsi dengan baik... Senang belanja di sini.,5
Biarkan bintang yg berbicara :),5
"Barang sudah sampai, seller nya sangat membantu banget untuk recommend type produk apa yang sesuai.

Tapi sayang nya charger mengeluarkan arus AC yg ngebuat laptop ane jadi nyetrum, ane sdh yakin bkn grounding listrik ane yg cacat, karena sdh coba pindah2 tempat dan pakai multitester hasil pun sama. 

Ane rasa ada cacat pd produk nya, cuma ya sudah lah namanya barang murmer hehe.",4
"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",5
"Maaf saya kecewa dengan barangnya, lubang chargernya geser jadi tidak bisa dipakai",1
barang sudah sampai dan diterima dengan baik. Recommended karena barang original dan bisa dipakai utk device-device lain juga,5
"Gan barang dah sampe...sorry baru kasih testi...udah di test...tidak mengecewakan...thx ya gan...
Recommended seller..",5
"Packing aman, Kualitas Original Fast respon barang sesuai pesanan ngga nyesel deh beli disini Mantap",5
Terima kasih atas produk anda,5
Mas ini yg huruf W S X gk bisa mas,2
Barang bagus pengiriman cepat,4
Tidak sesuai warna diskripsi yang disepakati,1
cuma sekali pakai dah rusak,1
"sumpahh kecewa parahhh, sia - sia gw bayar mahal buat go send instant courier 3 jam, barang dateng 6 jam kemudian
gilaa gilaa gilaaa
sumpahh nyesel gw beli disini, respon lama pulaa
gw sampe dimarahin cust sama atasan, gw mesen instant karna urgent tapi apa yang gw dapet???",1
barangnya susah sampai.......,1
"puas banget, pengiriman cepat .. recomended banget .. sukses selalu yaa",5
Barang sudah diterima sesuai,5
Stlh trf lsg dikirim oleh wahana. Pake wahana ke serang cuma sehari sudah sampai.. recommended,5
"Babut , maksudnya bagus , belanja disini , barang sesuai gambaran di otak saya",4
Belum 1 bulan udah rusak. Dikira abis baterai tapi ternyata baterai masih full. Pas cek ke toko jam ternyata sebelumnya udah pernah dibongkar dan ada karet yg lepas.,1
"produk ori, packing oke",5
Maaf gan kok gk sesuai sama gambar/foto yg dideskripsi ya? Gmn nh gan?,2
Hp mati saat penggunaan pertama...dan gak mau nyala lagi,2
Speaker retak dipojok bawah,1
"Barang sampai, respon jg oke. Thk admin.",5
"Sepatunya bagus, jahitan rapi dan pengiriman juga cepat. trims",5
"kualitas produk bagus, responnya saja kurang , terima kasih",5
"Ancurrrr,, dikasihnya barang bekas, udah gitu Rusak pula, Payah kalau tidak korporatif, kecewa sangat !!!",1
Barang tidak fungsi di charger malah panas,1
"Packing ok, respon cepat and barang sesuai deskripsi. Recsel..",5
Hp tidak berfungsi sama sekali,1
oke makasih barang saya udah sampai,1
"Baterainya boros,cukup pertama dan terakhir.makasih gan
Sukses selalu.",2
Pesanannya sudah sampai... saya sangat puas... ????,5
"Barang sdh diterima, respon &amp; pengiriman cepat. Tks",5
"Tidak bisa digunakan, di charge 1x langsung gabisa dipake lagi.. Ditawarin sama toko pengembalian produk dan diganti yang baru dengan syarat ongkir ditanggung pembeli :(.. Saya minta refund pun, mereka minta barang rusaknya dikirim kembali, dan saya harus bayar ongkir.. Capede... Drpd jual brg ga berkualitas, mendingan evaluasi dulu deh biar pelanggan puas dengan kualitas produk anda",2
"barang yang dikirim Tidak sesuai dengan gambar, warna nya pun kusam.",2
Makasih Sist ... barangnya sudah di terima ... puas banget... bagus. belom di buka sih tapi dr tampilan depanya oke punya. ama dapet bonus tasnya . makasih yah,5
udh 3x bli dsni bgus mdel bhannya,5
"Sangat mengecewakan, hp nya seperti kw n bkn baru, tdk ada kitabnya.",1
Mantap seller baik,5
"Baru 2 hari sudah tidak nyala mousenya, apakah karena battery nya habis? Padahal saya pakai battery bawaannya. Mouse kadang nyala kadang mati, tolong pencerahaannya",1
Sesuai deskripsi thanks,5
"barang sudah sy trima, cuma frame nya tidak sesuai pesanan, di chat buat solusi cuma di baca saja, sungguh kecewa.",1
Barang diterima dalam keadaan baik,5
"Barang rusak, stik retak dikirim",1
"Barang sudah sampai dengan selamat, terima kasih",4
Pesan nya Hitam datang nya Ungu...,2
Headset nya ga nyala????????????,1
"Barang sudah diterima dengan baik, sesuai dengan gambar dan cepat, respon penjual lewat chat cepat dibalas, packing rapi....?????",5
Barang kurang lengkap tidak ada handsfreenya,2
Barang sudah sampai dan sesuai dengan pesanan. Terimakasih,5
Biar bintang yg berbicara,5
Barang bagus cepet sampainya,5
"Mantap,  cepattttt sekaliiiii.  semoga awet",5
"Keterangan isi 10,,ternyata 1 biji,, biji lo tuh muahal baut segitu 5rb",1
Ukurannya tdk sesuai dengan keterangan jd sandalnya kurang besar 1 nomer diatasnya walau sampainya cepat.....,1
Analog kanan tidak bisa dipakai,2
Barang reject dijual murah.. payah diskonnya nipu. Kapok beli Bata di online,1
"Sesuai pesanan, barang original",5
"Good
Brng bagus
Paking rapi",5
pengantaran bagus cuman bikin rubber bat tambah rusak kw?,2
Sesuai pesanan..packing rapi dan fast respon fast delivery ??,5
Sesuai dengan pesanan produk bekerja dengan baik..mkasi boss,5
barang sesuai deskripsi &amp; mudah dipasang,5
"Sesuai pesanan, kirain pake cas, salah lihat. Kalau yg cas selisih dikit saja",2
"Seller ok. Packing rapi dan pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",2
barang sudah sampai dan langsung ditest. Button arah bawah tidak berfungsi. Padahal deskripsi ditest sebelum dikirim.,1
"Pengiriman cukup cepat, brg sesuai harapan",5
"thank you,,barang sdah dterima dengan baik.",4
"barangnya bagus, tapi respon agak lama...",1
Keren keren keren dan keren keren keren,5
Terimakasih barang sudah sampai dirumah,5
"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",2
Barang sesuai..bagus pelayanan..,5
"Barang bagus,,sesuai deskripsi",4
"Barang sesuai harga, kuat",5
pesanan sesuai dan bekerja dengan baik....,5
Tdk ada logo jbl nya huuuffffg,2
"Packing rapih. Pengiriman sesuai jadwal. Product sesuai, rekomended seller deh??",5
"Pesanan sudah tiba di alamat dengan selamat.
Produk sesuai dengan yang diorder, tidak ada yang cacat , respon cepat.
Oke mantap dan sukses.",5
barang sesuai harga n berfungsi dengan baik.,4
Pengiriman cepat sesusai pesanan trmksh....,5
pengiriman super cepat. thanks bosku,5
paket udah keterima terimakasih,2
Bos knp jaringannya ga conect ketika sudah masuk sim card?? Gmn solusinya?,2
Barang bagus sesuai deskripsi,4
"Barang sudah sampai, pengiriman cepat. Terimakasih",4
Mantap gan. Thankyou barang sampe cepet,5
Di pake 1 kali doang langsung Bangkar.  Ga bisa di cas sia sia dah beli nya juga,2
"fast respon, barang sesuai",5
Pelayanan cepat n barang oke,4
Baik dan berkualitas. Recommended,5
"Barang sesuai foto, dan warna sesuai dengan pesanan saya, terimakasih",5
"GAGAL, tidak bisa untuk potong bawang merah",1
"Barang bagus..kurang sesuai untuk  acer E5-476G,saya paksakan lcd nya bermasalah",2
"Barang tidak berfungsi,,,,,,,,,,,,",2
Barang sampenya terlalu cepet. Saking cepetnya yang beli sampe salah taruh alamat. Good job gan. Makasi kirimannya. Barangnya mendarat dengan selamat,5
"Saya memesan dua deker kaki seperti yang dilihat difoto.. yang Merk Remora pas bisa dipakai sedangkan yang satunya tidak bisa dinaikkan karen terlalu kecil karena ternyata ukuran M relatif. Memang saya punya yang remora dan maka ukuran Remora saya gunakan sebagai acuan, Penjual seharusnya memberitahu bahwa  ukuran M untuk kedua barang tidak sama dan perlu mberitahukan kepada pembeli bahwa pembelian decker tidak bisa ditukarkan....sehingga sewaktu akan membeli ada pertimbangan tersebut..... Jadi bukan sepenuhnya kesalahan kami dan penjual punya kewajiban moral untuk menjaga hubungan dengan customers..",1
Tombol hapus tidak berfungsi...,1
brg diterima dlm kondisi bagus,5
ngga mirip sama foto. cuma warna kuning polos semua. kecewa..,2
"Layanan ramah, pengiriman cepat dan barang sesuai deskripsi produk",5
"kayaknya enggak ori, pengisian lambat tidak seperti orinya",2
Dah ditulis tp ndk bisa dihapus????????????????,2
Terimakasih barang diterima dg baik,5
"harus di powerglue, cuma nyantol doang gak ngehold....",2
"Baru semalam belanja, jam 11 pagi udah sampe. Mantul!",5
"Thankss ya jamnya  udh sampe  , ori dijamin",5
"Proses pengiriman cepat. Proses penjualan kurang bagus. Jika buyer tidak catat size dan warna, mohon tanya buyer mau size apa. Jangan kirim size random dan semua pack motif dan warna sama semua. Tidak ada inisiatif sendiri sama sekali.",1
Produk mantap sesuai dengan harganya. Cuma ini beli isinya kalo offline ukuran seberapa ya...?,5
