text,rating,sentiment_label
Barang sesuai pesanan dan cepat sampai,5,positive
Barang bagus harga murah,5,positive
Paket rapi...mantap....cepat....sampe ke tujuan,5,positive
ya saya puas dgn barangnya,5,positive
Responya luar biasa b mantap,5,positive
"seller top, pengiriman cepat barang oke",5,positive
pengiriman cepat seller top,5,positive
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5,positive
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5,positive
"Barang mantap, pelayanan cepat",5,positive
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5,positive
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5,positive
,5,positive
,5,positive
josss pokok e bisa buat langganan,5,positive
"berfungsi dengan baik, normal",5,positive
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5,positive
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,5,positive
Sesuai dengan deskripsi,5,positive
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5,positive
Barang sesuai deskripsi,5,positive
,5,positive
barang sudah sampai sesuai pesanan .,5,positive
"barang ok....
pengriman cepet....",5,positive
paket telah diterima baik.. Terima kasih,5,positive
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5,positive
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5,positive
sesuai deskripsi barangnya,5,positive
Proses cepat dan mantap,5,positive
sesuai deskripsi barangnya,5,positive
Bagus sesuai dgn deskripsi thnks.,5,positive
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,5,positive
seller is good. produknya mantap. 5 stars ya,5,positive
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",5,positive
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",5,positive
Produk diterima utuh tersegel.. semoga awet,5,positive
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,5,positive
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,5,positive
"Makasih gan, barang sesuai",5,positive
Pengiriman cepat. Fast respon. Barang sesuai. Trims,5,positive
"Produknya bagus, berkualitas, dan berfungsi dg baik",5,positive
brg diterima dg baik&amp; lengkap,5,positive
Great Product &amp; Great Seller,5,positive
Produk berfungsi dgn baik,5,positive
"produk sesuai dengan deskripsi, tapi belum dicoba",5,positive
Barang sesuai diskripsi dan layanan cepat,5,positive
"Sudah diterima, terima kasih",5,positive
Sudah diterima dengan baik dan bisa di pakai.,5,positive
,5,positive
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",5,positive
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,5,positive
Sesuai yg diharapkan. Terimakasih.,5,positive
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",5,positive
"Produk sesuai deskripsi, packing rapi.. rekomended..!",5,positive
Terimakasih barang sudah sampai,5,positive
"Bagus..
Pengiriman cukup cepat",5,positive
,5,positive
Terimakasih barangnya udah sampai.,5,positive
Fast respon dan terbaiks,5,positive
makasih barang sudah sampai,5,positive
,5,positive
Lihat bintangnya aja dahhhhh,5,positive
,5,positive
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",5,positive
Barang sudah sampai....tks..,5,positive
,5,positive
"barang sudah samapai gan, dan bagus",5,positive
"mantafff, sangat-sangat sesuai,,,",5,positive
Barang sudah diterima dengan baik...,5,positive
"Pengiriman cepat, Kemasan bagus",5,positive
SESUAI PERMINTAAN.. FAST RESPON,5,positive
,5,positive
barang lumayan kuat.... good,5,positive
sudah sampai murah meriah,5,positive
"sudah di terima bos
packing bagus, aman",5,positive
"makasih, barang sesuai gambar",5,positive
langsung dipakai. mantap. thanks. maaf baru kasi testi,5,positive
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",5,positive
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,5,positive
"good.......cepat, packing aman.....",5,positive
Barang sangat bagus sesuai diskripsi,5,positive
mantap sampai dengan aman gan.............................,5,positive
barang udah nyampe om makasihhhhh,5,positive
,5,positive
"barang sesuai, pengiriman cepat, ok",5,positive
mantab... fast respone.. tx u..,5,positive
"Barang bagus, packing cukup, kurir ramah",5,positive
,5,positive
produk sesuai dan bagus. thanks,5,positive
Terima kasih semoga bermanfaat..,5,positive
Barang sesuai gambar dan diterima dalam kondisi baik,5,positive
"Trmksih banyak juragan....
Atas kerjasamanya.....",5,positive
Keren produk nya mantaps,5,positive
"barang bagus...packing rapi,pokoknya top bgt",5,positive
,5,positive
Sesuai dengan apa yg sudah dijelaskan pada detail produk,5,positive
"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",5,positive
"Barang bagus,pengiriman cepat,recomended",5,positive
barang sudah diterima dengan baik dan sesuai,5,positive
"cepet respon'a
pesen pagi, siang udh sampe",5,positive
"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",5,positive
,5,positive
barang Bagus pengiriman cepat ..........,5,positive
terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,5,positive
Keren bagus sangat berguna sekali,5,positive
"Barang sesuai gambar, packing rapihlah,
Pengiriman standar dan harga terjangkau..

Terima kasih",5,positive
Recomended seller semoga awet,5,positive
"Barang bagus, berfungsi dgn baik....",5,positive
Barangnya datang tepat waktu,5,positive
Barang sudah diterima dengan baik dan pengiriman yg cepat. Terima kasih.,5,positive
mantap gun tackernya gan,5,positive
,5,positive
Seller merespon dengan cepat dengan proses pengiriman yang juga cepat. Barang dipacking rapi dan berkualitas baru (bnib). Stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,5,positive
,5,positive
Barang dah sampe..cepat rapi dan respon penjual baik,5,positive
"barang sudah diterima dalam kondisi bagus, sudah di test, terimakasih",5,positive
Produk bagus dan respon cepat.,5,positive
"Mantap, rekomen seller, barang bagus",5,positive
Barang sesuai deskripsi. Pengiriman cepat. Thanks 👍,5,positive
"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",5,positive
"barang sudah sampai, 
langsung dicoba n lancar jaya. 
thanks seller.",5,positive
Mantaps brng sesuai dan cepat responnya,5,positive
"Barang sesuai gambar 
Respon penjual cepat",5,positive
Barang di terima sesuai spek,5,positive
"Barang telah tiba, sesuai gambar...",5,positive
Barang sudah di terima thank u,5,positive
Terimakasih gan barang sudah sampai,5,positive
Barang sudaj sampai gan tks....,5,positive
respon cepat... pengiriman juga cepat... sudah dites kualitas barang ok... trims,5,positive
,5,positive
"barang sdh dterima dgn baik, trima kasih..",5,positive
"Barang sudah di terima, bagus, packing rapih makasih pelayanan nya",5,positive
Packing sangat rapih dan barang sesuai yg dipesan,5,positive
"Mantap, ajib, top, joss",5,positive
oke........... sesuai pesanan,5,positive
Barang bagus. Kalau beli isinya kira2 di Toko ATK ada yang jual nda ya?,5,positive
"trims yaaa, barangx sdh sampai",5,positive
barang sesuai walaupun belum di coba...makasih tokopedia,5,positive
mantab fast respon...,5,positive
"barang sudah sampai, belum tak coba",5,positive
baguuuus sesuai deskripsi dan gambar. belum dicoba sih semoga g ada masalah,5,positive
Produk bekerja dengan baik &amp; kuat,5,positive
,5,positive
Puas pisan cepet pisan,5,positive
"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",5,positive
Barang sesuai pesanan,5,positive
Barang sdh sampai dgn cepat.. Sdh dicoba dan hasilnya ok... Sukses terus boss.....,5,positive
sangat cepat responnya..good job thanks,5,positive
sudah saya terima dlm keadaan baik. trims,5,positive
,5,positive
"Brg sesuai gambar, pelayanan oke",5,positive
barang sesuai gambar. kemasan baik dan pengiriman cepat. terima kasih,5,positive
"Sesuai dgn deskripsi dan foto, dan sangat cocok bagi saya yg baru belajar.  Saya REKOMENDASIKAN Toko Rumah Baju Kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat. Setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan Pos Indonesia sudah sesuai dengan waktu pengiriman yg saya pilih. Sy puas dengan pelayan kalian",5,positive
good product. mantab jaya. recomended seller,5,positive
Produk mantab pelayanan cepat.... Terimakasih,5,positive
"Barang sesuai deskripsi dan bagus, semoga awet. Thx",5,positive
Packing Baik. Recommended Seller. Barang Sesuai Pesanan,5,positive
"bagus...
nanti saya pesan lagi di toko ini",5,positive
Mantap gan bagus...........,5,positive
"Saya mau review utk packaging, produk dan penjual.
Pertama packaging sangat rapi, pakai double bubble dan dibalut lagi dengan karton tebal.
Kedua produk sangat berkualitas tinggi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya.
Ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. Pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu.

Saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller.",5,positive
"Respon dan pengiriman cepat, barang oke, good seller",5,positive
"Pengiriman cepat,packing rapi dan barangnya sesuai dgn deskripsi",5,positive
