,text,rating,sentiment_label
1385,"Bagus,  penjual responsif,  memuaskan",5,1
325,"mantap orderanya, paking rapi seller ramah dan fasto response",5,1
620,Mantapssss............,5,1
506,"sudah d terima, tapi kaitan antara kantong hape dan  holder bakal mudah copot kena goncangan",5,1
1510,"diterima dengan baik, kualitas bagus, semoga langgeng",4,1
143,Terimakasih barang sudah sampai dirumah,5,1
1552,"Respon cepat, paking kurang aman karna dus penyok smp di tujuan.",4,1
1639,Setelah pakai beberap waktu. Ketahanan baterai stablil dan normal.,5,1
597,"kualitas oke,,, seller oke,,, trusted",5,1
643,terima kasih barang telah diterima,4,1
648,akhirnya nyampe juga.. barangnya lumayan bagus untuk harga segitu..,4,1
1763,Barang datang dengan aman terimakasih . Persis sperti di gambar,5,1
1120,Bagus..  Pas harga n barang. Jos,5,1
1795,"Sorry lama ngasi testi gan.
Stick sampai tepat waktu dan berfungsi normal. Walaupun merk yang sampai beda dengan gambar, overall memuaskan.",5,1
459,Sesuai diskripsi...nice...,5,1
1108,barang usdah sampai dan sesuai pesanan. terimakasih,5,1
405,"mantap,thanks ya gan,,,",5,1
373,Barang bagus sesuai harga,4,1
870,cakeep bgt warnanya...syuuukaaaaa deh,4,1
585,"Sorry lama, soalnya belum di tes, pas dites OK barangnya... thanks gan",5,1
891,"Gooddd selleeerr, sesuai gambar",5,1
1335,Brownnnn lucuuu .... gak dapat connie,5,1
1015,"thanks,gan..brg sdh diterima...",5,1
953,Barang diterima dalam keadaan baik dan segel baik,5,1
1063,"Maaf agak telat memberi ulasan. Uhm, terima kasih banyak ya, barangnya udah nyampe dengan selamat. Barangnya sangat bagus, sesuai dengan gambar/fotonya. Tidak ada yang cacat. Perfect. Thank you ^o^ !",5,1
1468,"Barang baik dan berfungsi normal, moga awet. Txs",5,1
1774,"Produk oke2 aja sih, tapi sepertinya ga bakal panjang umur, baru pake udah ada warning seperti di gambar, penjualnya fast respon, tapi bahasa penjualnya tidak memuaskan, jadi bintang 4 aja ya",4,1
176,Terimakasih barang diterima dg baik,5,1
1058,Barang sesuai dengan deskripsi pada lapak.,5,1
224,......ok............,5,1
1660,Produk sesuai harga dan gambar,5,1
1313,"barang sdh sampai dan berfungsi normal, hrg bersahabat",5,1
1246,"Sesuai, terima kasih,",5,1
404,Barang sesuai gambar &amp; pengiriman cepat,5,1
562,Respon cepat n pengiriman cepat. Smg bisa jadi langganan terus. :),5,1
146,"Barang bagus,,sesuai deskripsi",4,1
401,Sudah sampai dan packing bagus..semoga awet,4,1
380,Kualitas produk baik 👍,5,1
601,Packing aman..barang yahud 😁,5,1
1709,"brg bagus mantap udh dicoba ketat enak dipake buat kneee
mantap gan!!!!!",5,1
1145,"fast respons, harga terjangkau, pelayanan memuaskan...thx

recomended",5,1
1164,"Barang sesuai dengan deskripsi, dites ok, recommended seller, sukses gan,mksh.",5,1
1674,Barang mantap berpungsi baik semoga awet... Senang belanja d tokonya gan...makasi,5,1
123,Biar bintang yg berbicara,5,1
1428,"Tengkyu gan, barang sudah sampai dengan baik ^^",5,1
1455,Di coba sih top markotop...smga awet,4,1
