wrong,right
gbs,tidak bisa
hingg,hingga
tp,tetapi
blm,belum
yg,yang
dpke,dipakai
km,kamu
thx,terima kasih
tapi,tetapi
dng,dengan
gak,tidak
kmrn,kemarin
nga,tidak
dipake,dipakai
tdk,tidak
knp,kenapa
gg,tidak
nyala,menyala
sy,saya
jd,jadi
bs,bisa
gx,tidak
koj,kenapa
ama,dan
dah,sudah
muahal,mahal
brng,barang
brg,barang
tpi,tetapi
tidk,tidak
tdak,tidak
gx,tidak
cuma,hanya
cuman,hanya
sdh,sudah
sukak,suka
d,di
pesen,pesan
psn,pesan
pesn,pesan
psan,pesan
spiker,speaker
semog,semoga
ckup,cukup
trims,terima kasih
trims,terima kasih
tks,terima kasih
mksh,terima kasih
krn,karena
mgk,mungkin
x,kali
kwalita,kualitas
kwalitas,kualitas
pake,pakai
kepake,terpakai
udh,sudah
tuker,tukar
tapi,tetapi
tap,tetapi
sblum,sebelum
sblm,sebelum
baarng,barang
da,sudah
moga,semoga
cpt,cepat
brg,barang
brng,barang
gde,gede
g,tidak
papa,apa-apa
makasi,terima kasih
barqng,barang
gmpg,gampang
error,eror
tak,tidak
bagua,bagus
responsi,responsif
blm,belum
aj,saja
recommended,reccomended
trima,terima
terimakasih,terima kasih
mnit,menit
pd,pada
dg,dengan
tmpt,tempat
engirimannya,pengirimannya
trims,terima kasih
mo,mau
hrs,harus
tlng,tolong
br,baru
atu,satu
lg,lagi
ky,seperti
mslh,masalah
sblm,sebelum
gmbar,gambar
gk,tidak
g,tidak
bener,benar
bner,benar
net book,netbook
spec,spesifikasi
cepet,cepat
sekedar,sekadar
nyesuain,menyesuaikan
sampe,sampai
kalo,kalau
klo,kalau
dimintain,dimintai
udah,sudah
nancep,menancap
oenuh,penuh
tq,terima kasih
telpon,telepon
telfon,telepon
bgt,sekali
banget,sekali
tlg,tolong
nyampek,sampai
nyampe,sampai
dn,dan
ditanggapin,ditanggapi
tanggapin,tanggapi
pcking,packing
dinyalain,dinyalakan
idup,hidup
batre,baterai
ngarep,mengharapkan
nemuin,menemukan
krna,karena
thnks,terima kasih
tlp,telepon
pdhal,padahal
rekomended,reccomended
ori,original
kegores,tergores
speker,speaker
sory,maaf
gw,saya
koj,kok
murmer,murah meriah
jg,juga
thk,terima kasih
bru,baru
lgi,lagi
nggak ,tidak
ngk,tidak
nggk,tidak
ga,tidak
makasih,terima kasih
dgn,dengan
trimaksh,terima kasih
ndak,tidak
bgs,bagus
